date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:55:11	20/20	---MCZ	200	added ('OK')	text/plain	etag:W/%22dz03WdyQ+5ouO24uJWOerw==%22	http://www.mywebexpression.com/robots.txt		(from )
20:55:11	38544/38544	---MCZ	200	added ('OK')	text/html	etag:W/%229690-3265296229%22	http://www.mywebexpression.com/	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/index.html	(from )
20:55:11	3047/3047	---M--	200	added ('OK')	image/png	etag:W/%22u2fGjKM2nFvT+eTQdLQIgw==%22	http://www.mywebexpression.com/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/apple-touch-icon-57x57.png	(from http://www.mywebexpression.com/)
20:55:12	5950/5950	---M--	200	added ('OK')	image/png	etag:W/%22ZPttqib0FHp263FIK0BnPA==%22	http://www.mywebexpression.com/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/apple-touch-icon-114x114.png	(from http://www.mywebexpression.com/)
20:55:12	3711/3711	---M--	200	added ('OK')	image/png	etag:W/%228Tvq4/gqOEhWZ0ef374TSg==%22	http://www.mywebexpression.com/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/apple-touch-icon-72x72.png	(from http://www.mywebexpression.com/)
20:55:12	7893/7893	---M--	200	added ('OK')	image/png	etag:W/%221q27SmkTztdkLOXRQ36NJA==%22	http://www.mywebexpression.com/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/apple-touch-icon-144x144.png	(from http://www.mywebexpression.com/)
20:55:12	3218/3218	---M--	200	added ('OK')	image/png	etag:W/%2218nj0m533gMjh6RFcNdATw==%22	http://www.mywebexpression.com/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/apple-touch-icon-60x60.png	(from http://www.mywebexpression.com/)
20:55:13	6327/6327	---M--	200	added ('OK')	image/png	etag:W/%228Pqi3T6FG9vTrtf/poC4aw==%22	http://www.mywebexpression.com/apple-touch-icon-120x120.png	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/apple-touch-icon-120x120.png	(from http://www.mywebexpression.com/)
20:55:13	3848/3848	---M--	200	added ('OK')	image/png	etag:W/%22SS9SFV/dfCQJdmhxiIiUcw==%22	http://www.mywebexpression.com/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/apple-touch-icon-76x76.png	(from http://www.mywebexpression.com/)
20:55:13	8586/8586	---M--	200	added ('OK')	image/png	etag:W/%22ahK+5YORqSM5Orp98V1OUg==%22	http://www.mywebexpression.com/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/apple-touch-icon-152x152.png	(from http://www.mywebexpression.com/)
20:55:14	11744/11744	---M--	200	added ('OK')	image/png	etag:W/%228Jabr9yTMi2vdmwdubkQQA==%22	http://www.mywebexpression.com/favicon-196x196.png	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/favicon-196x196.png	(from http://www.mywebexpression.com/)
20:55:14	6597/6597	---M--	200	added ('OK')	image/png	etag:W/%227BFDVoM3t3N4bhsJSUS7ug==%22	http://www.mywebexpression.com/favicon-160x160.png	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/favicon-160x160.png	(from http://www.mywebexpression.com/)
20:55:14	3790/3790	---M--	200	added ('OK')	image/png	etag:W/%227Y0pJK++cY5WbbRhJX2oyw==%22	http://www.mywebexpression.com/favicon-96x96.png	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/favicon-96x96.png	(from http://www.mywebexpression.com/)
20:55:14	1169/1169	---M--	200	added ('OK')	image/png	etag:W/%22C1Ra6fodnI7BLcSLziOz4g==%22	http://www.mywebexpression.com/favicon-16x16.png	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/favicon-16x16.png	(from http://www.mywebexpression.com/)
20:55:14	1878/1878	---M--	200	added ('OK')	image/png	etag:W/%22dztPla58i8+c7g1ig6Q5vw==%22	http://www.mywebexpression.com/favicon-32x32.png	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/favicon-32x32.png	(from http://www.mywebexpression.com/)
20:55:15	4800/4800	---M--	200	added ('OK')	image/png	etag:W/%2269icffvdUdIHP0YSHYC61A==%22	http://www.mywebexpression.com/mstile-144x144.png	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/mstile-144x144.png	(from http://www.mywebexpression.com/)
20:55:15	109518/109518	---MCZ	200	added ('OK')	text/css	etag:W/%22385b964b68acb68d23cb43a5218fade9%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.2.0/css/bootstrap.min.css	C:/My%20Web%20Sites/test%20web%20matdes/maxcdn.bootstrapcdn.com/bootstrap/3.2.0/css/bootstrap.min.css	(from http://www.mywebexpression.com/)
20:55:16	741/741	---MCZ	200	added ('OK')	text/css	etag:W/%22vaQn1GTBw1ZSrvaHsOBs4w==%22	http://www.mywebexpression.com/bower_components/bootstrap-material-design/dist/css/ripples.min.css	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/bower_components/bootstrap-material-design/dist/css/ripples.min.css	(from http://www.mywebexpression.com/)
20:55:19	1056166/1056166	---MCZ	200	added ('OK')	text/css	etag:W/%22bsUrXklkRHMYJTtUgOCd7Q==%22	http://www.mywebexpression.com/bower_components/bootstrap-material-design/dist/css/material-wfont.min.css	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/bower_components/bootstrap-material-design/dist/css/material-wfont.min.css	(from http://www.mywebexpression.com/)
20:55:19	24850/24850	---MCZ	200	added ('OK')	text/css	etag:W/%22tCax7xVvaAPlnWnVzQJvHw==%22	http://www.mywebexpression.com/icons/icons-material-design.css	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/icons/icons-material-design.css	(from http://www.mywebexpression.com/)
20:55:19	363/363	---MCZ	200	added ('OK')	text/css	etag:W/%22hzLblALq0iIZ1e4O97EzZA==%22	http://www.mywebexpression.com/fonts/jonny_quest_classic.css	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/fonts/jonny_quest_classic.css	(from http://www.mywebexpression.com/)
20:55:19	512/512	---MCZ	200	added ('OK')	text/css	etag:W/%227qI8mVogQjo5G82SMCh68g==%22	http://www.mywebexpression.com/bower_components/snackbarjs/dist/snackbar.min.css	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/bower_components/snackbarjs/dist/snackbar.min.css	(from http://www.mywebexpression.com/)
20:55:20	21984/21984	---MCZ	200	added ('OK')	text/css	etag:W/%22feda974a77ea5783b8be673f142b7c88%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	C:/My%20Web%20Sites/test%20web%20matdes/maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	(from http://www.mywebexpression.com/)
20:55:20	733/733	---MCZ	200	added ('OK')	text/css	etag:W/%22F2bgt2O2wPz0QFZ9Xa931Q==%22	http://www.mywebexpression.com/skrollr.css	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/skrollr.css	(from http://www.mywebexpression.com/)
20:55:20	8112/8112	---MCZ	200	added ('OK')	text/css	etag:W/%22XHGTWRoc5EGa8dQJKfWK1w==%22	http://www.mywebexpression.com/main.css	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/main.css	(from http://www.mywebexpression.com/)
20:55:22	39967/39967	---M--	200	added ('OK')	image/jpeg	etag:W/%22MO5DUoBCalfMlM8+FicPGQ==%22	http://www.mywebexpression.com/media/avatar.jpg	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/media/avatar.jpg	(from http://www.mywebexpression.com/)
20:55:24	19817/19817	---M--	200	added ('OK')	image/png	etag:W/%221lvcDSj0DVKutSdXXYkzNw==%22	http://www.mywebexpression.com/media/projects/emisferosudlogo.png	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/media/projects/emisferosudlogo.png	(from http://www.mywebexpression.com/)
20:55:25	20440/20440	---M--	200	added ('OK')	image/png	etag:W/%22SJUquVeV3Qoh3AAWcoNXSg==%22	http://www.mywebexpression.com/media/projects/smartlogo.png	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/media/projects/smartlogo.png	(from http://www.mywebexpression.com/)
20:55:25	26280/26280	---M--	200	added ('OK')	image/png	etag:W/%22JtWV6yKQWieZKilPzwnj7Q==%22	http://www.mywebexpression.com/media/projects/didlogo.png	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/media/projects/didlogo.png	(from http://www.mywebexpression.com/)
20:55:27	26760/26760	---M--	200	added ('OK')	image/png	etag:W/%22GuNh/Hne4HY4Pmq7xQz/ag==%22	http://www.mywebexpression.com/media/projects/material-bootstrap.png	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/media/projects/material-bootstrap.png	(from http://www.mywebexpression.com/)
20:55:27	7366/7366	---MCZ	200	added ('OK')	application/javascript	etag:W/%22WpDXmM7HfX9MtYjN/IaHcg==%22	http://www.mywebexpression.com/bower_components/bootstrap-material-design/scripts/ripples.js	C:/My%20Web%20Sites/test%20web%20matdes/www.mywebexpression.com/bower_components/bootstrap-material-design/scripts/ripples.js	(from http://www.mywebexpression.com/)
20:55:27	95786/95786	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2254499a47-1762a%22	https://code.jquery.com/jquery-1.11.1.min.js	C:/My%20Web%20Sites/test%20web%20matdes/code.jquery.com/jquery-1.11.1.min.js	(from http://www.mywebexpression.com/)
